ID;Data;WIG20_MAX_dif;WIG20_MAX;WIG20_MIN;FTSE 100_Max_dif;FTSE 100_Max;FTSE 100_Min_dif;FTSE 100_Min;Dow Jones_Max_dif;Dow Jones_Max;Dow Jones_Min_dif;Dow Jones_Min;DAX_Max_dif;DAX_Max;DAX_Min_dif;DAX_Min;SMI_Max_dif;SMI_Max;SMI_Min_dif;SMI_Min;CAC40_Max_dif;CAC40_Max;CAC40_Min_dif;CAC40_Min;FTSE MIB_Max_dif;FTSE MIB_Max;FTSE MIB_Min_dif;FTSE MIB_Min;GBP/PLN_Max_dif;GBP/PLN_Max;GBP/PLN_Min_dif;GBP/PLN_Min;USD/PLN_Max_dif;USD/PLN_Max;USD/PLN_Min_dif;USD/PLN_Min;EUR/PLN_Max_dif;EUR/PLN_Max;EUR/PLN_Min_dif;EUR/PLN_Min;CHF/PLN_Max_dif;CHF/PLN_Max;CHF/PLN_Min_dif;CHF/PLN_Min;
24;22.02.2011;12,90;2680,98;2651,77;-78,70;6027,8;-88,00;5922,8;;12389,82;;12176,31;-90,87;7350,95;-51,02;7259,67;-88,75;6650,38;-70,43;6607,85;-85,12;4078,87;-61,84;4026,01;-791,01;22230,2;-401,51;21800,49;0,05;4,74;0,02;4,64;0,05;2,94;0,02;2,88;0,03;3,98;0,02;3,91;0,06;3,11;0,02;3,03;
25;23.02.2011;-10,42;2670,56;2644,17;-45,50;5982,3;-9,30;5913,5;-168,70;12221,12;-112,88;12063,43;-40,22;7310,73;-76,37;7183,3;-0,43;6649,95;-17,99;6589,86;-17,83;4061,04;-18,08;4007,93;-94,50;22135,7;71,09;21871,58;-0,03;4,71;0,02;4,66;-0,03;2,91;0,00;2,88;0,01;3,99;0,03;3,94;0,00;3,11;0,04;3,07;
26;24.02.2011;13,00;2683,56;2665,99;-45,30;5937;-57,00;5856,5;-91,50;12129,62;-80,26;11983,17;-154,68;7156,05;-89,39;7093,91;-87,89;6562,06;-91,58;6498,28;-36,78;4024,26;-23,57;3984,36;-85,78;22049,92;-144,29;21727,29;0,00;4,71;-0,02;4,64;0,00;2,91;0,00;2,88;0,01;4;0,02;3,96;0,03;3,14;0,01;3,08;
27;25.02.2011;34,25;2717,81;2669,82;74,30;6011,3;52,80;5909,3;21,41;12151,03;77,76;12060,93;37,97;7194,02;36,24;7130,15;2,90;6564,96;16,98;6515,26;60,28;4084,54;22,51;4006,87;365,13;22415,05;246,84;21974,13;-0,01;4,7;-0,03;4,61;-0,01;2,9;-0,01;2,87;0,02;4,02;-0,01;3,95;0,01;3,15;0,01;3,09;
28;28.02.2011;4,59;2722,4;2683,9;11,70;6023;51,70;5961;84,01;12235,04;69,22;12130,15;111,47;7305,49;18,79;7148,94;68,36;6633,32;8,00;6523,26;47,19;4131,73;46,55;4053,42;242,22;22657,27;177,78;22151,91;-0,02;4,68;0,01;4,62;0,00;2,9;-0,01;2,86;-0,03;3,99;-0,01;3,94;-0,02;3,13;-0,02;3,07;
29;01.03.2011;-11,77;2710,63;2666,79;18,50;6041,5;-35,50;5925,5;26,34;12261,38;-75,16;12054,99;50,84;7356,33;44,84;7193,78;33,81;6667,13;83,27;6606,53;14,00;4145,73;3,01;4056,43;59,95;22717,22;-25,49;22126,42;0,03;4,71;0,01;4,63;0,00;2,9;0,00;2,86;0,00;3,99;-0,01;3,93;-0,01;3,12;-0,01;3,06;
30;02.03.2011;55,37;2766;2717,85;-100,70;5940,8;-62,20;5863,3;-146,26;12115,12;-36,36;12018,63;-153,75;7202,58;-71,09;7122,69;-59,76;6607,37;-65,68;6540,85;-92,09;4053,64;-46,54;4009,89;-328,59;22388,63;-244,80;21881,62;0,01;4,72;0,03;4,66;0,00;2,9;0,00;2,86;0,00;3,99;0,02;3,95;0,01;3,13;0,03;3,09;
31;03.03.2011;34,70;2800,7;2767,39;76,70;6017,5;54,70;5918;167,98;12283,1;49,38;12068,01;91,46;7294,04;68,45;7191,14;18,88;6626,25;35,55;6576,4;44,47;4098,11;30,54;4040,43;97,71;22486,34;179,83;22061,45;-0,03;4,69;-0,03;4,63;-0,02;2,88;-0,01;2,85;0,01;4;0,01;3,96;-0,02;3,11;-0,03;3,06;
32;04.03.2011;19,43;2820,13;2779,01;34,80;6052,3;64,50;5982,5;-11,73;12271,37;11,50;12079,51;17,21;7311,25;-34,02;7157,12;-5,33;6620,92;-52,14;6524,26;-6,80;4091,31;-29,63;4010,8;-30,32;22456,02;49,11;22110,56;-0,02;4,67;-0,02;4,61;-0,01;2,87;-0,01;2,84;0,00;4;0,00;3,96;-0,02;3,09;-0,02;3,04;
33;07.03.2011;-0,58;2819,55;2776,52;-7,80;6044,5;-17,70;5964,8;-27,93;12243,44;-37,91;12041,6;-40,44;7270,81;-29,81;7127,31;-62,37;6558,55;-41,43;6482,83;-41,33;4049,98;-20,39;3990,41;-8,60;22447,42;-136,40;21974,16;-0,02;4,65;-0,03;4,58;-0,01;2,86;-0,01;2,83;-0,01;3,99;-0,01;3,95;0,00;3,09;0,01;3,05;
34;08.03.2011;-15,62;2803,93;2780,27;-44,00;6000,5;-55,00;5909,8;7,76;12251,2;30,61;12072,21;-48,65;7222,16;-54,84;7072,47;-6,67;6551,88;-2,50;6480,33;-32,55;4017,43;-25,42;3964,99;-80,84;22366,58;146,80;22120,96;-0,01;4,64;0,00;4,58;0,01;2,87;0,00;2,83;0,00;3,99;-0,01;3,94;-0,01;3,08;-0,02;3,03;
35;09.03.2011;-24,63;2779,3;2758,78;-24,70;5975,8;11,00;5920,8;6,62;12257,82;84,39;12156,6;-4,62;7217,54;36,79;7109,26;-30,19;6521,69;-35,69;6444,64;18,38;4035,81;20,92;3985,91;191,03;22557,61;158,38;22279,34;0,02;4,66;0,01;4,59;0,01;2,88;0,02;2,85;0,00;3,99;0,00;3,94;0,01;3,09;0,00;3,03;
36;10.03.2011;-24,81;2754,49;2731,04;-69,00;5906,8;-90,50;5830,3;-46,39;12211,43;-182,21;11974,39;-107,83;7109,71;-87,31;7021,95;-80,75;6440,94;-52,51;6392,13;-54,96;3980,85;-45,66;3940,25;-180,87;22376,74;-283,72;21995,62;0,03;4,69;0,02;4,61;0,04;2,92;0,01;2,86;0,03;4,02;0,01;3,95;0,04;3,13;0,03;3,06;
37;11.03.2011;15,25;2769,74;2731,42;-65,30;5841,5;-35,00;5795,3;-124,42;12087,01;-38,07;11936,32;-95,69;7014,02;-58,64;6963,31;-56,74;6384,2;-52,16;6339,97;-29,39;3951,46;-25,04;3915,21;-285,92;22090,82;-167,37;21828,25;0,01;4,7;-0,01;4,6;0,02;2,94;0,02;2,88;0,03;4,05;0,03;3,98;0,02;3,15;0,02;3,08;
38;14.03.2011;-21,19;2748,55;2697,69;1,50;5843;-27,00;5768,3;-44,88;12042,13;-39,01;11897,31;-67,58;6946,44;-115,37;6847,94;-42,74;6341,46;-65,50;6274,47;-11,96;3939,5;-43,99;3871,22;55,19;22146,01;-112,18;21716,07;-0,02;4,68;-0,02;4,58;-0,04;2,9;-0,01;2,87;0,00;4,05;0,00;3,98;-0,02;3,13;-0,02;3,06;
39;15.03.2011;-2,04;2746,51;2714,19;-129,70;5713,3;-177,30;5591;-53,44;11988,69;-201,06;11696,25;-231,61;6714,83;-364,55;6483,39;-166,79;6174,67;-267,18;6007,29;-118,71;3820,79;-158,15;3713,07;-580,15;21565,86;-777,39;20938,68;0,03;4,71;0,05;4,63;0,03;2,93;0,01;2,88;0,02;4,07;0,03;4,01;0,06;3,19;0,04;3,1;
40;16.03.2011;12,05;2758,56;2722,83;6,50;5719,8;7,23;5598,23;-131,99;11856,7;-140,77;11555,48;18,20;6733,03;18,46;6501,85;-30,56;6144,11;-7,17;6000,12;-19,96;3800,83;-19,13;3693,94;-56,80;21509,06;-136,90;20801,78;0,03;4,74;-0,01;4,62;0,03;2,96;-0,01;2,87;0,04;4,11;0,01;4,02;0,08;3,27;0,03;3,13;
41;17.03.2011;21,13;2779,69;2755,03;-11,80;5708;12,57;5610,8;-56,16;11800,54;59,34;11614,82;-40,20;6692,83;15,33;6517,18;-46,73;6097,38;0,00;6000,12;-4,21;3796,62;14,19;3708,13;-199,24;21309,82;73,89;20875,67;0,01;4,75;0,04;4,66;0,01;2,97;0,02;2,89;0,02;4,13;0,03;4,05;0,02;3,29;0,08;3,21;
42;18.03.2011;21,15;2800,84;2779,13;49,50;5757,5;88,50;5699,3;126,55;11927,09;162,41;11777,23;68,48;6761,31;138,51;6655,69;43,90;6141,28;82,78;6082,9;65,22;3861,84;93,34;3801,47;139,83;21449,65;199,50;21075,17;-0,06;4,69;-0,05;4,61;-0,06;2,91;-0,03;2,86;-0,05;4,08;-0,03;4,02;-0,05;3,24;-0,05;3,16;
43;21.03.2011;-9,83;2791,01;2754,1;42,80;5800,3;63,00;5762,3;151,21;12078,3;82,88;11860,11;68,44;6829,75;125,61;6781,3;86,69;6227,97;71,46;6154,36;42,61;3904,45;53,78;3855,25;77,46;21527,11;214,63;21289,8;-0,01;4,68;-0,01;4,6;-0,04;2,87;-0,03;2,83;0,01;4,09;-0,01;4,01;-0,04;3,2;-0,04;3,12;
