ID;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Min;Dow Jones_Max;Dow Jones_Min;DAX_Max;DAX_Min;SMI_Max;SMI_Min;CAC40_Max;CAC40_Min;FTSE MIB_Max;FTSE MIB_Min;GBP/PLN_Max;GBP/PLN_Min;USD/PLN_Max;USD/PLN_Min;EUR/PLN_Max;EUR/PLN_Min;CHF/PLN_Max;CHF/PLN_Min
67;1450,7;1410,71;7071,11;6937,4;29629,37;29161,12;12368,49;12184;10160,89;10015,37;5828,05;5736;21389,07;20953,65;5,3803;5,1298;4,9563;4,8981;4,7793;4,7253;5,0382;4,9369
68;1518,03;1453,76;7169,12;6981,5;29798,39;29252,57;12521,25;12180,76;10322,19;10091,87;5913,71;5765,65;21759,37;21040,03;5,4681;5,318;4,9227;4,8222;4,7737;4,7276;5,0093;4,9004
69;1526,89;1485,31;7243,9;7149,59;30299;29994,87;12781,56;12526,61;10458,1;10266,7;6022,39;5918,5;22185,7;21681,84;5,4896;5,4283;4,878;4,8136;4,7929;4,746;5,057;4,9109
70;1515,86;1488,25;7258,87;7170,69;31020,79;30182,12;12771,78;12520,81;10450,62;10380,48;6034,27;5915,57;22035,81;21615,42;5,503;5,3868;4,8667;4,735;4,8047;4,721;5,0392;4,859
71;1546,5;1497,41;7326,54;7171,24;30888,53;30466,29;12936,57;12638,22;10690,84;10476,54;6118,25;5970,23;22367,24;21730,24;5,4223;5,3594;4,7632;4,6806;4,7466;4,7016;4,9405;4,8619
72;1528,7;1496,79;;;31026,89;30559,73;12866,7;12606,64;10645,39;10520,9;6093,4;5974,72;22265,5;21774,12;5,3955;5,3556;4,737;4,6904;4,7267;4,701;4,8986;4,8783
73;1529,2;1487,36;7297,1;7236,17;30862,69;30550,55;12815,33;12699,22;10750,95;10610,65;6114,36;6052,42;22224,34;21895,51;5,4247;5,3725;4,7491;4,7021;4,7302;4,7078;4,9274;4,9022
74;1550,8;1523,79;7329;7258,67;31276,28;30883,45;13111,38;12927,2;10837,1;10714,59;6249,52;6143,36;22572,84;22280,87;5,4693;5,4139;4,7487;4,7148;4,7378;4,7091;4,9672;4,9005
75;1531,76;1507,2;7385,86;7259,24;31269,93;30888,17;13192,82;12952,09;10872,76;10727,43;6249,29;6183,55;22501,71;22201,89;5,4769;5,4303;4,7487;4,7082;4,7396;4,709;4,9373;4,8348
76;1573,05;1515,19;7514,04;7385,86;32006,5;31018,86;13564,83;13183,19;11083,49;10891,54;6394,18;6245,69;22881,81;22303,86;5,4521;5,3758;4,7372;4,617;4,7269;4,6628;4,9269;4,819
77;1561,98;1519,71;7483;7351,07;32503,16;32259,33;13441,54;13165,78;11013,98;10901,12;6352,45;6224,51;22668,16;22217,73;5,4512;5,3821;4,6715;4,6049;4,7218;4,6873;4,8835;4,8309
78;1534,68;1487,5;7386,59;7262,06;32225,92;31876,22;13121,13;12925,57;10940,52;10793,24;6239,11;6138,88;22166,55;21759;5,455;5,3979;4,7118;4,6529;4,7346;4,6856;4,9023;4,8116
79;1494,98;1460,43;7273,01;7175,75;31781,21;31322,23;13008,82;12688,87;10867,83;10667,43;6143,29;6034,79;21728,24;21203,02;5,4475;5,4099;4,7488;4,6961;4,7354;4,6943;4,878;4,8109
80;1471,34;1431,36;7300,44;7186,56;31644,09;31102,33;12953,99;12736,09;10841,62;10727,12;6119,95;6045,27;21545,34;21283,18;5,5071;5,4205;4,7972;4,7001;4,7424;4,7037;4,8666;4,8099
81;1504,64;1444,84;7324,19;7256,51;31462,99;31050,26;12927,79;12760,04;10930,48;10780,12;6138,22;6060,44;21625,91;21316,67;5,5138;5,464;4,7857;4,7124;4,7445;4,7043;4,8709;4,8212
82;1505,05;1482,29;7288,46;7191,17;;;12827,58;12617,4;10837,23;10686,59;6105,59;6018,02;21553,32;21269,57;5,5026;5,4328;4,785;4,7414;4,7463;4,6985;4,8765;4,764
83;1506,54;1464,67;7288,72;7148,5;32026,46;31182,49;13051,57;12736,01;10897,06;10713,25;6178,29;6051,02;21947,02;21375,58;5,4792;5,4149;4,7531;4,6818;4,7309;4,6929;4,843;4,7962
84;1522,52;1462,59;7284,15;7131,69;31677,16;31219,75;12743,05;12603,58;10778,93;10652,28;6072,93;6009,09;21446,54;21223,47;5,483;5,4292;4,7602;4,6905;4,7325;4,7043;4,8376;4,801
85;1548,25;1513,5;7378,44;7263,62;31965,19;31511,09;13020,54;12814,81;10949,6;10816,54;6230,9;6125,1;21993,82;21559,32;5,525;5,4524;4,7525;4,6823;4,7425;4,7131;4,855;4,8295
86;1583,57;1532,85;7486,4;7351,12;32204,45;31647,62;13154,15;12885,08;11007,86;10865,82;6303,66;6182,63;22229,19;21759,84;5,5533;5,4855;4,7446;4,7035;4,7432;4,7176;4,9006;4,8748
87;1585,54;1552,6;;;32325,16;31973,05;12942,46;12758,44;10938,17;10840,61;6232,25;6153,44;21903,78;21538,53;5,5947;5,5339;4,7927;4,7172;4,7594;4,7232;4,9444;4,9025
88;1637,07;1596,06;7530,65;7422,02;33363,74;32278,69;13375,02;12939,96;11102,5;10930,37;6429,79;6252,59;22565,43;21888,34;5,634;5,5731;4,766;4,7062;4,7623;4,7293;4,9428;4,9261
89;1650,7;1622,55;7535,7;7469,17;33303,58;32893,71;13364,55;13210,99;11122,18;10975,51;6440,69;6361,53;22607,32;22319,18;5,6543;5,6171;4,79;4,7431;4,7759;4,7354;4,9578;4,9359
90;1655,38;1616,14;7488,12;7410,4;33095,24;32832,03;13238,61;13085,2;11020,44;10895,27;6396,63;6319,7;22466,13;22134,05;5,6944;5,6318;4,8166;4,7659;4,7916;4,7603;4,9995;4,9552
91;1667,41;1630,67;7533,79;7467,56;33138,26;32859,18;13298,26;13156,44;11046,46;10921,85;6402,22;6331,17;22475,01;22041,52;5,6775;5,6306;4,8247;4,7649;4,794;4,7541;4,9931;4,9265
92;1670,29;1630;7550,41;7491,26;33354,69;33008,74;13510,29;13189,27;11144,6;11052,39;6459,36;6352,97;22433,04;22042,09;5,6516;5,5858;4,8022;4,7239;4,7819;4,7403;4,9942;4,8889
