WIG20_MAX_DIF;WIG20_MAX_PRC;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Max_DIF;FTSE 100_Max_PRC;FTSE 100_Min;FTSE 100_Min_DIF;Dow Jones_Max;Dow Jones_Max_PRC;Dow Jones_Max_DIF;Dow Jones_Min;Dow Jones_Min_DIF;DAX_Max;DAX_Max_PRC;DAX_Max_DIF;DAX_Min;DAX_Min_DIF;SMI_Max;SMI_Max_PRC;SMI_Max_DIF;SMI_Min;SMI_Min_DIF;CAC40_Max;CAC40_Max_PRC;CAC40_Max_DIF;CAC40_Min;CAC40_Min_DIF;FTSE MIB_Max;FTSE MIB_Max_PRC;FTSE MIB_Max_DIF;FTSE MIB_Min;FTSE MIB_Min_DIF;GBP/PLN_Max.;GBP/PLN_Max._PRC;GBP/PLN_Max._DIF;GBP/PLN_Min.;GBP/PLN_Min._DIF;USD/PLN_Max.;USD/PLN_Max._PRC;USD/PLN_Max._DIF;USD/PLN_Min.;USD/PLN_Min._DIF;EUR/PLN_Max.;EUR/PLN_Max._PRC;EUR/PLN_Max._DIF;EUR/PLN_Min.;EUR/PLN_Min._DIF;CHF/PLN_Max.;CHF/PLN_Max._PRC;CHF/PLN_Max._DIF;CHF/PLN_Min.;CHF/PLN_Min._DIF
4,13;0,002367;1748,84;1736,75;7497,23;0,43;0,000057;7461,78;41,78;34385,89;0,002390692;82,01;34203,36;403,95;14571,66;0,003922222;56,93;14498,05;123,9;11188,29;-0,000973285;-10,9;11140,38;25,01;6725;0,004643019;31,08;6686,63;45,33;24803,45;0,008268686;203,41;24655,94;248,46;5,48;0,001828154;0,01;5,44;0,05;4,53;-0,002202643;-0,01;4,5;0,04;4,7;0;0;4,68;0,01;4,79;-0,002083333;-0,01;4,75;0,02
15,73;0,008995;1764,57;1721,85;7488,07;-9,16;-0,001222;7443,46;-18,32;;;;;;14570,71;-6,5195E-05;-0,95;14447,55;-50,5;11175,27;-0,001163717;-13,02;11085,38;-55;6730,16;0,000767286;5,16;6679,8;-6,83;24761,27;-0,00170057;-42,18;24593,41;-62,53;5,48;0;0;5,44;0;4,53;0;0;4,5;0;4,71;0,00212766;0,01;4,69;0,01;4,8;0,002087683;0,01;4,77;0,02
-10,62;-0,006018;1753,95;1707,01;7498,34;10,27;0,001372;7452,84;9,38;34262,07;;;34004,64;;14446,33;-0,008536303;-124,38;14363,51;-84,04;11104,13;-0,006365842;-71,14;11066,04;-19,34;6681,41;-0,007243513;-48,75;6642,03;-37,77;24612,91;-0,005991615;-148,36;24398,94;-194,47;5,48;0;0;5,41;-0,03;4,57;0,008830022;0,04;4,52;0,02;4,72;0,002123142;0,01;4,69;0;4,82;0,004166667;0,02;4,77;0
-16,2;-0,009236;1737,75;1681,78;7458,88;-39,46;-0,005262;7373,56;-79,28;34112,84;-0,004355545;-149,23;33810,05;-194,59;14485,49;0,002710723;39,16;14343,8;-19,71;11104,84;6,39402E-05;0,71;11046,82;-19,22;6669,17;-0,001831949;-12,24;6615,58;-26,45;24656,77;0,001781992;43,86;24351,3;-47,64;5,46;-0,003649635;-0,02;5,42;0,01;4,6;0,006564551;0,03;4,56;0,04;4,72;0;0;4,69;0;4,83;0,002074689;0,01;4,78;0,01
-7,8;-0,004489;1729,95;1683,15;7402,79;-56,09;-0,007520;7343,37;-30,19;33862,64;-0,007334482;-250,2;33559,6;-250,45;14425,95;-0,00411032;-59,54;14321,84;-21,96;11101,92;-0,000262948;-2,92;11019,98;-26,84;6649,76;-0,002910407;-19,41;6613,92;-1,66;24567,07;-0,003637946;-89,7;24315,47;-35,83;5,44;-0,003663004;-0,02;5,4;-0,02;4,61;0,002173913;0,01;4,55;-0,01;4,72;0;0;4,69;0;4,81;-0,004140787;-0,02;4,77;-0,01
-23,48;-0,013573;1706,47;1689,34;7423,51;20,72;0,002799;7343,5;0,13;33827,83;-0,001027977;-34,81;33541,07;-18,53;14457,76;0,002205054;31,81;14300,21;-21,63;11063,88;-0,003426434;-38,04;10949,42;-70,56;6667,2;0,002622651;17,44;6601,56;-12,36;24700,21;0,00541945;133,14;24421,76;106,29;5,42;-0,003676471;-0,02;5,38;-0,02;4,56;-0,010845987;-0,05;4,52;-0,03;4,72;0;0;4,69;0;4,78;-0,006237006;-0,03;4,75;-0,02
20,16;0,011814;1726,63;1695,8;7354,07;-69,44;-0,009354;7294,75;-48,75;33615,82;-0,006267325;-212,01;33245,78;-295,29;14384,54;-0,005064408;-73,22;14149,7;-150,51;10993,11;-0,00639649;-70,77;10838,8;-110,62;6634,73;-0,00487011;-32,47;6522,28;-79,28;24679,8;-0,000826309;-20,41;24184,06;-237,7;5,4;-0,003690037;-0,02;5,36;-0,02;4,58;0,004385965;0,02;4,51;-0,01;4,72;0;0;4,68;-0,01;4,81;0,006276151;0,03;4,77;0,02
24,33;0,014091;1750,96;1731,46;7394,42;40,35;0,005487;7341,59;46,84;33682,39;0,001980318;66,57;33521,23;275,45;14382,62;-0,000133477;-1,92;14195,31;45,61;11022,35;0,002659848;29,24;10922,45;83,65;6656,33;0,003255596;21,6;6587,2;64,92;24759,24;0,003218827;79,44;24514,4;330,34;5,48;0,014814815;0,08;5,34;-0,02;4,63;0,010917031;0,05;4,5;-0,01;4,79;0,014830508;0,07;4,68;0;4,9;0,018711019;0,09;4,77;0
10,55;0,006025;1761,51;1728,17;7413,01;18,59;0,002514;7344,85;3,26;33984,9;0,008981251;302,51;33321,26;-199,97;14440,78;0,004043769;58,16;14266,42;71,11;11087,42;0,00590346;65,07;10991,74;69,29;6684,09;0,004170466;27,76;6621,82;34,62;24764,28;0,00020356;5,04;24498,49;-15,91;5,45;-0,005474453;-0,03;5,33;-0,01;4,61;-0,004319654;-0,02;4,48;-0,02;4,76;-0,006263048;-0,03;4,68;0;4,88;-0,004081633;-0,02;4,77;0
23,25;0,013199;1784,76;1697,88;7413,82;0,81;0,000109;7317,57;-27,28;33963,62;-0,00062616;-21,28;33534,27;213,01;14431,18;-0,000664784;-9,6;14243,35;-23,07;11129,5;0,003795292;42,08;10993,1;1,36;6662,07;-0,00329439;-22,02;6603,56;-18,26;24725,05;-0,001584137;-39,23;24512,41;13,92;5,38;-0,012844037;-0,07;5,32;-0,01;4,57;-0,00867679;-0,04;4,52;0,04;4,72;-0,008403361;-0,04;4,67;-0,01;4,84;-0,008196721;-0,04;4,79;0,02
